#,PLAYER,POS,AGE,TYPE,EXPIRY,CAP HIT,GP,SH,G,A,P,TOI,$/SH,$/G,$/A,$/P,$/MIN
457,"Acton, Will",C,26,ELC,UFA,"$680,000",30,18,3,2,5,8:08,"$37,777","$226,666","$340,000","$136,000","$2,786"
458,"Cote, Jean Philippe",D,31,Stnd,UFA,"$550,000",19,12,0,4,4,10:00,"$45,833",∞,"$137,500","$137,500","$2,894"
459,"Boulton, Eric",LW,37,35+,UFA,"$550,000",23,21,2,2,4,6:24,"$26,190","$275,000","$275,000","$137,500","$3,736"
460,"Boychuk, Zach","LW, RW",24,Stnd,RFA,"$550,000",11,15,1,3,4,10:11,"$36,666","$550,000","$183,333","$137,500","$4,909"
461,"Thornton, Shawn","LW, RW",36,Stnd,UFA,"$1,100,000",64,93,5,3,8,8:47,"$11,827","$220,000","$366,666","$137,500","$1,956"
462,"Kennedy, Tyler",C,27,Stnd,UFA,"$2,350,000",67,143,4,13,17,12:43,"$16,433","$587,500","$180,769","$138,235","$2,758"
463,"Girardi, Dan",RD,29,Stnd,UFA,"$3,325,000",81,100,5,19,24,23:07,"$33,250","$665,000","$175,000","$138,541","$1,775"
464,"Garrison, Jason",LD,29,Stnd,UFA,"$4,600,000",81,181,7,26,33,20:53,"$25,414","$657,142","$176,923","$139,393","$2,719"
465,"Kulemin, Nikolai","LW, RW",27,Stnd,UFA,"$2,800,000",70,81,9,11,20,16:12,"$34,567","$311,111","$254,545","$140,000","$2,469"
466,"Richards, Mike",C,28,Stnd,UFA,"$5,750,000",82,157,11,30,41,16:58,"$36,624","$522,727","$191,666","$140,243","$4,132"
467,"Weber, Shea",RD,28,Stnd,UFA,"$7,857,143",79,195,23,33,56,26:54:00,"$40,293","$341,614","$238,095","$140,306","$3,697"
468,"Whitney, Ray",LW,41,35+,UFA,"$4,500,000",69,124,9,23,32,13:57,"$36,290","$500,000","$195,652","$140,625","$4,675"
469,"Seabrook, Brent",RD,28,Stnd,UFA,"$5,800,000",82,149,7,34,41,22:15,"$38,926","$828,571","$170,588","$141,463","$3,178"
470,"Gordon, Boyd",C,30,Stnd,UFA,"$3,000,000",74,80,8,13,21,14:45,"$37,500","$375,000","$230,769","$142,857","$2,748"
471,"Nikitin, Nikita",LD,27,Stnd,UFA,"$2,150,000",66,95,2,13,15,17:06,"$22,631","$1,075,000","$165,384","$143,333","$1,905"
472,"Jensen, Nicklas",RW,20,ELC,RFA,"$863,333",17,30,3,3,6,15:38,"$28,777","$287,777","$287,777","$143,888","$3,248"
