#,PLAYER,POS,AGE,TEAM,TYPE,EXPIRY,CAP HIT,GP,SH,G,A,P,TOI,$/SH,$/G,$/A,$/P,$/MIN
532,"Chabot, Thomas",LD,23,OTT,Stnd,UFA,"$8,000,000",49,120,6,25,31,26:17:00,"$66,666","$1,333,333","$320,000","$258,064","$6,211"
533,"Couture, Logan","C, LW",31,SJS,Stnd,UFA,"$8,000,000",53,114,17,14,31,19:15,"$70,175","$470,588","$571,428","$258,064","$7,841"
534,"Lindström, Gustav",RD,22,DET,ELC,RFA,"$775,833",13,8,0,3,3,16:07,"$96,979",∞,"$258,611","$258,611","$3,702"
535,"Dzingel, Ryan","LW, RW, C",28,OTT,Stnd,UFA,"$3,375,000",40,48,8,5,13,12:42,"$70,312","$421,875","$675,000","$259,615","$6,643"
536,"Provorov, Ivan",LD,23,PHI,Stnd,UFA,"$6,750,000",56,126,7,19,26,24:59:00,"$53,571","$964,285","$355,263","$259,615","$4,824"
537,"Shattenkirk, Kevin",RD,31,ANA,Stnd,UFA,"$3,900,000",55,93,2,13,15,21:12,"$41,935","$1,950,000","$300,000","$260,000","$3,344"
538,"Faulk, Justin",LD/RD,28,STL,Stnd,UFA,"$6,500,000",56,117,7,18,25,24:15:00,"$55,555","$928,571","$361,111","$260,000","$4,786"
539,"DeBrusk, Jake",LW,24,BOS,Stnd,RFA,"$3,675,000",41,92,5,9,14,14:53,"$39,945","$735,000","$408,333","$262,500","$6,022"
540,"Mikkola, Niko",LD,24,STL,Stnd,RFA,"$787,500",30,22,1,2,3,14:31,"$35,795","$787,500","$393,750","$262,500","$1,808"
541,"White, Colin","RW, C",23,OTT,Stnd,UFA,"$4,750,000",45,69,10,8,18,14:41,"$68,840","$474,999","$593,750","$263,888","$7,188"
542,"Zaitsev, Nikita",RD,29,OTT,Stnd,UFA,"$4,500,000",55,70,4,13,17,22:44,"$64,285","$1,125,000","$346,153","$264,705","$3,599"
543,"Larkin, Dylan","C, LW",24,DET,Stnd,UFA,"$6,100,000",44,134,9,14,23,20:24,"$45,522","$677,777","$435,714","$265,217","$6,795"
544,"van Riemsdyk, Trevor",RD,29,WSH,Stnd,UFA,"$800,000",20,23,1,2,3,17:04,"$34,782","$800,000","$400,000","$266,666","$2,343"
545,"Kuznetsov, Evgeny",C,28,WSH,Stnd,UFA,"$7,800,000",41,78,9,20,29,16:34,"$100,000","$866,666","$390,000","$268,965","$11,483"
546,"Edmundson, Joel",LD,27,MTL,Stnd,UFA,"$3,500,000",55,77,3,10,13,20:02,"$45,454","$1,166,666","$350,000","$269,230","$3,176"
547,"Wagner, Chris","RW, C",29,BOS,Stnd,UFA,"$1,350,000",41,57,2,3,5,11:41,"$23,684","$675,000","$450,000","$270,000","$2,818"
548,"Nutivaara, Markus",RD,26,FLA,Stnd,UFA,"$2,700,000",30,45,0,10,10,15:58,"$60,000",∞,"$270,000","$270,000","$5,636"
549,"Giordano, Mark",LD,37,CGY,Stnd,UFA,"$6,750,000",54,136,9,16,25,22:54,"$49,632","$750,000","$421,875","$270,000","$5,458"
550,"Benn, Jamie","LW, C",31,DAL,Stnd,UFA,"$9,500,000",52,124,11,24,35,17:47,"$76,612","$863,636","$395,833","$271,428","$10,273"
551,"Lucic, Milan",LW,32,CGY,Stnd,UFA,"$6,000,000",54,69,10,12,22,13:37,"$86,956","$600,000","$500,000","$272,727","$8,159"
552,"Josi, Roman",LD,30,NSH,Stnd,UFA,"$9,059,000",48,141,8,25,33,24:20:00,"$64,248","$1,132,375","$362,360","$274,515","$7,755"
553,"Foligno, Nick","LW, C, RW",33,TOR,Stnd,UFA,"$5,500,000",49,81,7,13,20,17:46,"$67,901","$785,714","$423,076","$275,000","$6,317"
554,"Bortuzzo, Robert",RD,31,STL,Stnd,UFA,"$1,375,000",40,31,1,4,5,14:09,"$44,354","$1,375,000","$343,750","$275,000","$2,429"
555,"Burns, Brent",RD,35,SJS,Stnd,UFA,"$8,000,000",56,138,7,22,29,26:07:00,"$57,971","$1,142,857","$363,636","$275,862","$5,469"
556,"Henrique, Adam",C,30,ANA,Stnd,UFA,"$5,825,000",45,77,12,9,21,16:02,"$75,649","$485,416","$647,222","$277,380","$8,073"
557,"Laine, Patrik","LW, RW",22,CBJ,Stnd,RFA,"$6,750,000",46,82,12,12,24,17:27,"$82,317","$562,500","$562,500","$281,250","$8,409"
558,"Fowler, Cam",LD,29,ANA,Stnd,UFA,"$6,500,000",56,75,5,18,23,21:45,"$86,666","$1,300,000","$361,111","$282,608","$5,336"
559,"Dumba, Matt",RD,26,MIN,Stnd,UFA,"$6,000,000",51,89,6,15,21,22:16,"$67,415","$1,000,000","$400,000","$285,714","$5,283"
560,"Zajac, Travis",C,35,NYI,Stnd,UFA,"$5,750,000",46,50,8,12,20,16:25,"$115,000","$718,750","$479,166","$287,500","$7,614"
561,"Kulikov, Dmitry",LD,30,EDM,Stnd,UFA,"$1,150,000",48,51,0,4,4,19:10,"$22,549",∞,"$287,500","$287,500","$1,249"
562,"Juolevi, Olli",LD,22,VAN,ELC,RFA,"$863,333",23,24,2,1,3,13:12,"$35,972","$431,666","$863,332","$287,777","$2,843"
563,"Biega, Alex",RD,32,DET,Stnd,UFA,"$875,000",13,4,0,3,3,10:39,"$218,750",∞,"$291,666","$291,666","$6,319"
