Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
Martin Marincin,20162017,TOR,L,D,25,1,6,7,3,16,0.28,1,6,0,0,0,1,0,0,22,4.6,18:03,--
Markus Nutivaara,20162017,CBJ,L,D,66,2,5,7,7,6,0.11,2,7,0,0,0,0,0,0,66,3,13:13,--
Lance Bouma,20162017,CGY,L,L,61,3,4,7,-2,35,0.11,3,7,0,0,0,0,0,1,53,5.7,11:21,33.3
Ryan Sproul,20162017,DET,R,D,27,1,6,7,-8,6,0.26,0,4,1,3,0,0,0,0,46,2.2,15:09,--
Andreas Martinsen,20162017,"COL,MTL",L,L,64,3,4,7,-14,32,0.11,3,6,0,0,0,1,0,0,73,4.1,9:57,75
Drew Miller,20162017,DET,L,L,55,5,2,7,-12,18,0.13,5,7,0,0,0,0,0,1,43,11.6,10:17,66.7
Jamie Oleksiak,20162017,DAL,L,D,41,5,2,7,-4,37,0.17,5,6,0,0,0,1,0,1,33,15.2,16:13,--
Kevin Gravel,20162017,LAK,L,D,49,1,6,7,3,6,0.14,0,5,1,2,0,0,0,0,52,1.9,14:09,--
Chris Wagner,20162017,ANA,R,R,43,6,1,7,2,6,0.16,6,7,0,0,0,0,0,0,40,15,9:21,41.9
Nate Prosser,20162017,MIN,R,D,39,2,5,7,0,12,0.18,2,6,0,1,0,0,0,0,20,10,12:44,--
Greg McKegg,20162017,"FLA,TBL",L,C,46,3,4,7,-3,22,0.15,3,7,0,0,0,0,0,0,36,8.3,9:54,50
Nick Lappin,20162017,NJD,R,R,43,4,3,7,-17,17,0.16,4,7,0,0,0,0,0,0,57,7,11:43,28.6
Steven Santini,20162017,NJD,R,D,38,2,5,7,-6,14,0.18,2,7,0,0,0,0,0,0,46,4.4,16:05,--
